"Agency","X..Of.Positions","Business.Title","Civil.Service.Title","Title.Classification","Level","Job.Category","Salary.Range.From","Salary.Range.To","Salary.Frequency","Division.Work.Unit","Minimum.Qual.Requirements","Preferred.Skills","Residency.Requirement","Work.Location","mean.salary","res.requirement","category_cleaned","minqual_cleaned","cleanskill"
"BRONX DISTRICT ATTORNEY",80,"Assistant District Attorney Fall 2023","ASSISTANT DISTRICT ATTORNEY (S","Exempt-4","00","Legal Affairs Public Safety, Inspections, & Enforcement",73579,75121,"Annual","Assistant District Attorney","Required: U.S. Citizenship as of first day of employment Required: JD class of 2023 or Recent law school graduate admitted to New York State Bar Required: Sit for first available UBE after graduation from law school Required: Sit for first or second MPRE and NYLE available after graduation from law school or sooner Required: Commitment of three years of initial service",NA,"New York State residency required as of first day of employment","198 E161St Street Bronx N.Y.",74350,"required","Legal Affairs","college degree",NA
"DEPT OF YOUTH & COMM DEV SRVS",1,"College Aide","COLLEGE AIDE - ASSIGNMENT LEVE","Non-Competitive-5","02","Constituent Services & Community Programs Technology, Data & Innovation",16.02,20.72,"Hourly","WIOA Support","For Assignment Level I: Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school. For Assignment Level II (Information Technology): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study. For Assignment Level III (Information Technology Fellow): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.  SPECIAL NOTE Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","2 Lafayette St., N.Y.",18.37,"generally required","Constituent Services ","college degree",NA
"POLICE DEPARTMENT",1,"Police Administrative Aide","POLICE ADMINISTRATIVE AIDE","Competitive-1","00","Administration & Human Resources",36390,55228,"Annual","Police Lab/Civilian","1. A four-year high school diploma or its educational equivalent and  (a) One year of full-time satisfactory experience performing clerical, word processing or data entry duties; or  (b) One year of full-time satisfactory experience in public contact work requiring the obtaining and recording of information from persons; or  (c) Completion of 30 semester credits from an accredited college; or  (d) Two years of active military duty; or    2. A satisfactory combination of education and/or experience equivalent to 1(a), 1(b), 1(c), or 1(d) above.  However, all candidates must possess a four-year high school diploma or its educational equivalent.    Skills Requirement (title spec)  Ability to type a minimum of 35 words per minute.","Candidate must have knowledge of Microsoft Word, Excel, Outlook and Teams. Candidate must be able to work within a team and independently, depending on the tasks to be completed. Candidate must also be organized.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","150-14 Jamaica Ave",45809,"generally required","Administration ","college degree","candidate must have knowledge of microsoft word  excel  outlook and teams  candidate must be able to work within a team and independently  depending on the tasks to be completed  candidate must also be organized "
"DEPT OF HEALTH/MENTAL HYGIENE",5,"Public Health Sanitarian","PUBLIC HEALTH SANITARIAN","Competitive-1","01","Health Public Safety, Inspections, & Enforcement",45722,52580,"Annual","Healthy Homes Progam","1. A baccalaureate degree from an accredited college, including or supplemented by 30 semester credits in the physical and/or biological sciences, i.e., biology, botany, chemistry, geology, physics, physiology, and zoology; of which not more than 12 credit hours may be in the applied sciences, i.e., environmental technology, sanitation technology, medical technology, public health, infection control or food service; or  2. An associate degree from an accredited college, with 15 semester credits in the physical and/or biological sciences, of which not more than 6 credit hours may be in the applied sciences, and 5 years of experience as a public health technician assisting sanitarians and engineers in carrying out the various elements of prevention and control programs affecting the publicâs health.  Medical Requirement: Medical guidelines have been established for the position of Public Health Sanitarian. Candidates will be examined to determine whether they can perform the essential functions of the position of Public Health Sanitarian. Where appropriate, a reasonable accommodation will be provided for a person with a disability to enable him or her to take the examination, and /or to perform the essential functions of the job.","This position draws on technical and scientific skills, as well as effective communication skills. Candidates should have excellent verbal, written, interpersonal, and organizational skills. Preference will be given to the candidates with at least 1 year of field experience with inspections.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","NYC - All Boroughs",49151,"generally required","Health","college degree","this position draws on technical and scientific skills  as well as effective communication skills  candidates should have excellent verbal  written  interpersonal  and organizational skills  preference will be given to the candidates with at least   year of field experience with inspections "
"DEPARTMENT OF TRANSPORTATION",2,"City Laborer","CITY LABORER","Labor-3","00","Building Operations & Maintenance",290,290,"Daily","Facilities Maintenance","1. There are no formal education or experience requirements for this position.  2. There are certain medical and physical requirements.  License Requirements  Possession of a Motor Vehicle Driver License valid in the State of New York.","The ideal candidate would be a motivated individual who should be able to work both independently as well as part of a team.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","88-26 Pitkin Avenue",290,"generally required","Building Operations ","relevant certificates required","the ideal candidate would be a motivated individual who should be able to work both independently as well as part of a team "
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Miscellaneous Budget","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Policy, Research & Analysis",51550,65604,"Annual","Office of Budget Review","1. A baccalaureate degree from an accredited college.","QUALIFICATIONS:  â¢	Strong analytic and quantitative skills and demonstrated attention to detail.  â¢	Ability to prioritize tasks and meet deadlines.  â¢	Able to work effectively individually and/or in a team environment.  â¢	Effective written, verbal, and interpersonal communication skills. â¢	Strong familiarity in Microsoft Office (including Word, Excel, and PowerPoint) is necessary.  â¢	Must be able to work occasional late nights and weekends as needed.  DESIRED SKILLS  Preference will be given to candidates who are familiar with fringe benefits or health insurance in particular.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",58577,"generally required","Finance","college degree","qualifications       strong analytic and quantitative skills and demonstrated attention to detail       ability to prioritize tasks and meet deadlines       able to work effectively individually and or in a team environment       effective written  verbal  and interpersonal communication skills      strong familiarity in microsoft office  including word  excel  and powerpoint  is necessary       must be able to work occasional late nights and weekends as needed   desired skills  preference will be given to candidates who are familiar with fringe benefits or health insurance in particular "
"MAYORS OFFICE OF CONTRACT SVCS",1,"Analyst, Learning Management (Websites)","RESEARCH PROJECTS COORDINATOR","Pending Classification-2","00","Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",50000,60000,"Annual","Chief Strategy Office","1. Graduation from an accredited college with a baccalaureate degree; or                                                                                     2. Graduation from an accredited community college plus two years of experience with administrative, analytic, coordinative, supervisory or liaison responsibilities; or           3. A four year high school diploma or its educational equivalent plus four years of experience as described in 2 above; or                                              4. A satisfactory equivalent combination of education and experience.","Demonstrate competency and/or history of consistent quality performance in the following areas of responsibility:  - A degree in Communications or Web Design or Graphic Designer or related qualification;  - 2 years of work experience as a website manager;  - Meet deadlines and work independently while paying close attention to details;  - Succinctly and effectively communicate verbally and in writing;  - Distill complex material, present information and make actionable recommendations;  - Analyze data and summarize research to support ongoing improvement in operations and service;  - Proficient in MS Word, MS PowerPoint, and MS Excel;  - Programming experience (HTML5) is a plus; - Ability to troubleshoot website issues in a fast-paced environment; - Strong attention to detail with an analytical mind and outstanding problem-solving skill; - Excellent time management skills with the ability to multi-task; - Meet deadlines and work independently while paying close attention to details;","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.  See DCAS Directive No. 2020-2 (https://www1.nyc.gov/assets/dcas/downloads/pdf/agencies/directive_2020_2.pdf) regarding residency requirement during the COVID-19 emergency.","255 Greenwich Street",55000,"generally required","Communications ","college degree","demonstrate competency and or history of consistent quality performance in the following areas of responsibility     a degree in communications or web design or graphic designer or related qualification       years of work experience as a website manager     meet deadlines and work independently while paying close attention to details     succinctly and effectively communicate verbally and in writing     distill complex material  present information and make actionable recommendations     analyze data and summarize research to support ongoing improvement in operations and service     proficient in ms word  ms powerpoint  and ms excel     programming experience  html   is a plus    ability to troubleshoot website issues in a fast paced environment    strong attention to detail with an analytical mind and outstanding problem solving skill    excellent time management skills with the ability to multi task    meet deadlines and work independently while paying close attention to details "
"NYC HOUSING AUTHORITY",1,"CARETAKER X","CARETAKER (HA)","Labor-3","00","Building Operations & Maintenance",31836,46278,"Annual","Manhattan Property Management","Qualification Requirements  There are no formal education or experience requirements for this position.",NA,"NYCHA has no Residency Requirements.","Jefferson Houses",39057,"not required","Building Operations ","relative experience required",NA
"HRA/DEPT OF SOCIAL SERVICES",1,"CONTROL CLERK","CLERICAL ASSOCIATE","Competitive-1","03","Administration & Human Resources Social Services",36390,58953,"Annual","Off Of Qual Asse-Fisc Int NM","Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","4 World Trade Center",47671.5,"generally required","Administration ","high school",NA
"NYC HOUSING AUTHORITY",101,"TECHNICIAN","CITY SEASONAL AIDE","Non-Competitive-5","00","Constituent Services & Community Programs Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",15.45,19.33,"Hourly","Mold Asmt & Remediation","While there are no formal education or experience requirements, certain programs may require such standards. Good physical condition is required for certain programs.",NA,"NYCHA has no residency requirements.","Mold ASMT & Remediation-DIR",17.39,"not required","Constituent Services ","relative experience required",NA
"DEPARTMENT OF CORRECTION",2,"LOCKSMITH","LOCKSMITH","Competitive-1","00","Building Operations & Maintenance",254.96,254.96,"Daily","F.M.R.D. Civilian","1. Five years of full-time satisfactory experience as a locksmith; or  2. Three years of such experience as described in â1â above plus education at a locksmith, vocational, technical or trade school approved by a Stateâs Department of Education or a recognized accrediting organization or or full-time satisfactory experience as a Locksmith Apprentice or Trainee to make a total of five years of experience. Six months of acceptable experience will be credited for each year of relevant education or full-time experience as a Locksmith Apprentice or Trainee; or  3. Education and/or experience which is equivalent of 1 or 2 above. However, all candidates must have at least three years of experience as described in 1 above.  License Requirements  At the time of appointment, candidates must possess a valid New York City Locksmith License. This license must be maintained for the duration of employment.",NA,"New York City residency is not required","Hazen St-Sod-Supp.Svcs., E.Elm",254.96,"not required","Building Operations ","relevant certificates required",NA
"NYC HOUSING AUTHORITY",101,"TECHNICIAN","CITY SEASONAL AIDE","Non-Competitive-5","00","Constituent Services & Community Programs Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",15.45,19.33,"Hourly","Mold Asmt & Remediation","While there are no formal education or experience requirements, certain programs may require such standards. Good physical condition is required for certain programs.",NA,"NYCHA has no residency requirements.","Mold ASMT & Remediation-DIR",17.39,"not required","Constituent Services ","relative experience required",NA
"CAMPAIGN FINANCE BOARD",1,"CANDIDATE SERVICES LIAISON","ANALYST CFB AL 1 ONLY","Pending Classification-2","01","Constituent Services & Community Programs",55000,55000,"Annual","Managerial","1. A baccalaureate degree from an accredited college including or supplemented by at least 12 credits in one or more areas relevant to the duties described above, and one year of satisfactory full-time experience relevant to the duties described above; or   2. A four-year high school diploma or its educational equivalent and five years of experience as described in 1 above; or  3. Education and/or experience equivalent to 1 above.","â¢	Excellent written and verbal communication skills.  â¢	Public speaking experience and ability to deliver effective presentations.  â¢	Customer-focused approach to answering questions and solving problems.  â¢	Strong computer and internet skills with a willingness to learn new software.  â¢	Previous experience working on political campaigns, voting rights, campaign finance reform or in a customer-focused environment preferred.  â¢	Strong interest and background in good government advocacy, public service, and money in politics.  â¢	Proficiency in MS Office; familiarity with video editing, e-learning, or fundraising software a plus.  â¢	Foreign language skills a plus.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","100 Church St., N.Y.",55000,"generally required","Constituent Services ","college degree","    excellent written and verbal communication skills       public speaking experience and ability to deliver effective presentations       customer focused approach to answering questions and solving problems       strong computer and internet skills with a willingness to learn new software       previous experience working on political campaigns  voting rights  campaign finance reform or in a customer focused environment preferred       strong interest and background in good government advocacy  public service  and money in politics       proficiency in ms office  familiarity with video editing  e learning  or fundraising software a plus       foreign language skills a plus "
"NYC HOUSING AUTHORITY",1,"ASSISTANT RESIDENT BUILDING SUPT (HA)","ASSISTANT RESIDENT BUILDING SU","Competitive-1","00","Building Operations & Maintenance",49666,76064,"Annual","Bronx Property Management","1. One year of permanent service in the title of Supervisor of Housing Caretakers, Heating Plant Technician (Housing Authority), Maintenance Worker or Supervising Housing Groundskeeper; or    2. A four year high school diploma or its educational equivalent, plus four years of experience in the operation, repair and maintenance of large tenanted buildings, two years of which must have been in a supervisory capacity over at least two employees. Higher education may be substituted for up to two years of this experience on the basis of 30 semester credits from an accredited college for each year of experience. However, all candidates must have at least two years of experience supervising at least two maintenance employees.",NA,"NYCHA has no residency requirements.","Forest Houses",62865,"not required","Building Operations ","college degree",NA
"MAYORS OFFICE OF CONTRACT SVCS",1,"Analyst, Risk Management","RESEARCH PROJECTS COORDINATOR","Pending Classification-2","00","Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",50000,55000,"Annual","General Counsel","1. Graduation from an accredited college with a baccalaureate degree; or                                                                                     2. Graduation from an accredited community college plus two years of experience with administrative, analytic, coordinative, supervisory or liaison responsibilities; or           3. A four year high school diploma or its educational equivalent plus four years of experience as described in 2 above; or                                              4. A satisfactory equivalent combination of education and experience.","Demonstrate competency and/or history of consistent quality performance in the following areas of responsibility.  â¢ Ability to succinctly and effectively communicate verbally and in writing; â¢ Sound judgment and discretion; â¢ Ability to present findings in a clear manner, ready for leadership review; â¢ Proven record establishing relationships quickly and effectively; â¢ Customer service focused and results oriented; â¢ Comfortable with ambiguity, taking initiative to define and execute critical tasks; and â¢ Flexibility in a fast moving and evolving office and division.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.  See DCAS Directive No. 2020-2 (https://www1.nyc.gov/assets/dcas/downloads/pdf/agencies/directive_2020_2.pdf) regarding residency requirement during the COVID-19 emergency.","255 Greenwich Street",52500,"generally required","Communications ","college degree","demonstrate competency and or history of consistent quality performance in the following areas of responsibility       ability to succinctly and effectively communicate verbally and in writing      sound judgment and discretion      ability to present findings in a clear manner  ready for leadership review      proven record establishing relationships quickly and effectively      customer service focused and results oriented      comfortable with ambiguity  taking initiative to define and execute critical tasks  and     flexibility in a fast moving and evolving office and division "
"DEPT OF HEALTH/MENTAL HYGIENE",1,"City Research Scientist II / NY Knows Project Officer, Bureau of Hepatitis, HIV, and STI","CITY RESEARCH SCIENTIST","Non-Competitive-5","02","Health Policy, Research & Analysis",75504,94761,"Annual","STI Programs","1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to 1 or 2 above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in 2 above. Two years as a City Research Scientist Level I can be substituted for the experience required in 1 and 2 above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.","â¢ Strong interpersonal skills, and the ability to work with a variety of people including healthcare providers, faith leaders, and community members.  â¢ Professional working knowledge relating to HIV and the history of the epidemic, scientific research and advancement trends, epidemiological profile, transmission, prevention treatment, and associated sociopolitical issues.  â¢ Ability to lift up to 30 pounds.  â¢ Have a valid driver's license.  â¢ Availability to work evenings and weekends for community events as needed.   â¢ Experience working with contracted agencies and providing capacity building assistance.  â¢ Highly organized, with the ability to work on multiple projects concurrently.  â¢ Exhibit proficiency in Word, Excel, and Access.   â¢ Professional working experience with Salesforce is also highly encouraged.  â¢ Strong comfort level in navigating within and among diverse and inclusive, equity based organizations, communities, institutions and groups with competing priorities.  â¢ Knowledge of social media and community engagement strategies are a plus.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","42-09 28th Street",85132.5,"generally required","Health","master degree","    strong interpersonal skills  and the ability to work with a variety of people including healthcare providers  faith leaders  and community members       professional working knowledge relating to hiv and the history of the epidemic  scientific research and advancement trends  epidemiological profile  transmission  prevention treatment  and associated sociopolitical issues       ability to lift up to    pounds       have a valid driver s license       availability to work evenings and weekends for community events as needed        experience working with contracted agencies and providing capacity building assistance       highly organized  with the ability to work on multiple projects concurrently       exhibit proficiency in word  excel  and access        professional working experience with salesforce is also highly encouraged       strong comfort level in navigating within and among diverse and inclusive  equity based organizations  communities  institutions and groups with competing priorities       knowledge of social media and community engagement strategies are a plus "
"OFFICE OF MANAGEMENT & BUDGET",1,"Administrative Assistant","STATISTICAL SECRETARY (OMB)","Pending Classification-2","01","Administration & Human Resources",50000,58000,"Annual","Health Task Force","Assignment Level I    1. Ability to type at a minimum of 45 words per minute, after accounting for errors.    2. Ability to line up, center and accurately type statistical tables and charts, within a reasonable period of time.    3. Graduation from a senior high school or equivalent.   Assignment Level II  1. Five years experience in a responsible secretarial position which includes formatting of correspondence, reports, statistical charts and records, one year of which must have been in a position of experience which includes determining formatting decisions for extremely complex reports, charts and statistical tables.   2. Ability to type at a minimum net speed of 55 words per minute (after accounting for errors).                                                                                                       3. Graduation from a senior high school or equivalent.","QUALIFICATIONS:   â¢	A baccalaureate degree from an accredited college. â¢	Experience with MS Office â¢	Excellent oral and written communication skills â¢	Demonstrated organizational skills  â¢	Proven ability to take on multiple tasks simultaneously and work under pressure. â¢	At least 3 years of administrative experience working for high level executives in a fast-paced environment.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",54000,"generally required","Administration ","high school","qualifications        a baccalaureate degree from an accredited college      experience with ms office     excellent oral and written communication skills     demonstrated organizational skills      proven ability to take on multiple tasks simultaneously and work under pressure      at least   years of administrative experience working for high level executives in a fast paced environment "
"HRA/DEPT OF SOCIAL SERVICES",1,"ADMINISTRATIVE ASSISTANT","CLERICAL ASSOCIATE","Competitive-1","03","Social Services",36390,41848,"Annual","Adult Protective Services-NM","Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","109 E 16Th St., N.Y.",39119,"generally required","Social Services","high school",NA
"PRESIDENT BOROUGH OF MANHATTAN",1,"Scheduling Assistant","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Communications & Intergovernmental Affairs",50000,50000,"Annual","Scheduling","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","â¢	Excellent time management skills â¢	Strong verbal and written communication skills  â¢	Ability to prioritize assignments independently â¢	Be extremely organized and have the ability to complete multiple assignments in a timely manner â¢	Bachelorâs Degree preferred","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","1 Centre St., N.Y.",50000,"generally required","Communications ","high school","    excellent time management skills     strong verbal and written communication skills      ability to prioritize assignments independently     be extremely organized and have the ability to complete multiple assignments in a timely manner     bachelor   s degree preferred"
"DEPT OF YOUTH & COMM DEV SRVS",1,"College Aide-Quality Assurance (QA) Analyst","COLLEGE AIDE - ASSIGNMENT LEVE","Non-Competitive-5","02","Technology, Data & Innovation",16.02,20.72,"Hourly","Information Technology","For Assignment Level I: Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school. For Assignment Level II (Information Technology): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study. For Assignment Level III (Information Technology Fellow): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.  SPECIAL NOTE Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.","â¢ TFS, JIRA, ServiceNow or other similar tools for Test case and Defect Management.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","2 Lafayette St., N.Y.",18.37,"generally required","Technology","college degree","    tfs  jira  servicenow or other similar tools for test case and defect management "
"DEPT OF PARKS & RECREATION",9,"Forester","FORESTER","Competitive-1","02","Building Operations & Maintenance",59497,59497,"Annual","Forestry & Horticulture","1. A masterâs degree from an accredited college or university, with a specialization in forestry or a related subject, or;  2. A baccalaureate degree from an accredited college or university, with a specialization in forestry or a related subject and one year of full-time professional experience in forestry or arboricultural work or;  3. An associate degree from an accredited college or university, with a specialization in forestry or a related subject and three (3) years of full-time professional experience in forestry or arboricultural work or;                                                                                                                                                                                                          4. A satisfactory combination of education and/or experience equivalent to â1,â2, or â3 above. However, all candidates must have at least an associate degree with a specialization in forestry or a related subject.  License Requirement   A Motor Vehicle Driver License valid in the State of New York. This license must be maintained for the duration of your employment.","1.	Proficiency in Microsoft Office. 2.	Excellent communication and interpersonal skills.  Experience working with the public.  3.	Ability to work independently.","This position is exempt from NYC residency requirements.","Flushing Meadow Pk Olmsted Ctr",59497,"not required","Building Operations ","master degree","   proficiency in microsoft office     excellent communication and interpersonal skills   experience working with the public      ability to work independently "
"DEPT OF PARKS & RECREATION",6,"Recreation Director","RECREATION DIRECTOR","Competitive-1","00","Constituent Services & Community Programs",41660,47909,"Annual","Central Recreation","1. A baccalaureate degree from an accredited college including or supplemented by 24 credits in recreation, physical education, dance, fine arts, applied arts (including therapy), group work, group dynamics, and community organization, at least 18 credits of which must be in recreation, physical education, dance, fine arts and applied arts (including therapy); or  2. A baccalaureate degree from an accredited college plus one year of full-time paid experience in planning, coordinating and supervising recreation programs; or  3. A four-year high school diploma or its educational equivalent and a combination of education and experience that is equivalent to five years of experience required in 2 above. College education leading to a degree may be substituted for the required experience on the basis of 30 credits for one year of experience. However, all candidates must have at least one year of experience or 24 credits in recreation, physical education, dance, fine arts, applied arts (including therapy), group work, group dynamics, and community organization, at least 18 credits of which must be in recreation, physical education, dance, fine arts and applied arts (including therapy).","1.	Bachelorâs degree. 2.	Experience with coaching sports such as track & field, cross country and team sports. 3.	Background in developing fitness and training programs and curriculum for athletes of all skill levels. 4.	Experience with event management. 5.	Familiarity with Microsoft Word and Excel. 6.	Excellent organizational and communication skills. 7.	Ability to work afternoons, evenings and weekends. 8.	Valid New York State driver license.","Residency in New York City, Nassau, Orange, Rockland, Suffolk, Putnam or Westchester counties required for employees with over two years of city service. New York City residency required within 90 days of hire for all other candidates.","625 Father Capodonno Blvd",44784.5,"generally required","Constituent Services ","college degree","   bachelor   s degree     experience with coaching sports such as track   field  cross country and team sports     background in developing fitness and training programs and curriculum for athletes of all skill levels     experience with event management     familiarity with microsoft word and excel     excellent organizational and communication skills     ability to work afternoons  evenings and weekends     valid new york state driver license "
"PUBLIC ADMINISTRATOR-NEW YORK",1,"DECEDENT PROPERTY AGENT","DECEDENT PROPERTY AGENT","Non-Competitive-5","00","Public Safety, Inspections, & Enforcement",41483,63794,"Annual","Public Adminstrator-New York","Graduation from a senior high school or its equivalent, and  1. Four (4) years of satisfactory, full-time experience as an investigator, including two (2) years of experience as a law enforcement officer, investigator dealing with the public, process server, or in investigative duties involved in locating, protecting and taking inventory of the personal property of others; or    Graduation from a senior high school or its equivalent, and  2. A satisfactory equivalent.",NA,"City Residency is not required for this position","31 Chambers St., N.Y.",52638.5,"not required","Public Safety","high school",NA
